Colname
X
Year
Month
Day
Hour
Minute
Temperaturemean2mabovegnd
RelativeHumiditymean2mabovegnd
MeanSeaLevelPressuremean
TotalPrecipitationsumsfc
Snowfallamountrawsumsfc
TotalCloudCovermeansfc
CloudCovermeanHigh
CloudCovermeanmid
CloudCovermeanLow
SunshineDurationsumsfc
ShortwaveRadiationsumsfc
Windmean10m
WindDirectionmean10m
Windmean80m
WindDirectionmean80m
Windmean900mb
WindDirectionmean900mb
WindGustmean
Temperaturemax2mabovegnd
Temperaturemin2mabovegnd
RelativeHumiditymax2mabovegnd
RelativeHumiditymin2mabovegnd
MeanSeaLevelPressuremax
MeanSeaLevelPressuremin
TotalCloudCovermaxsfc
TotalCloudCoverminsfc
CloudCovermaxHigh
CloudCoverminHigh
CloudCovermaxmid
CloudCoverminmid
CloudCovermaxLow
CloudCoverminLow
Windmax10m
Windmin10m
Windmax80m
Windmin80m
Windmax900mb
Windmin900mb
WindGustmax
WindGustmin
pluiedemain
